site,sp,area,rem,dts
CCP,cau,144.24,0.015391015,11
CCP,cau,189.18,0.164869437,9
CCP,cau,28.25,0.040707965,9
CCP,cau,336.9,0.022232116,8
CCP,cau,181.3,0.102537231,8
CCP,cau,80.01,0.006749156,8
CCP,cau,202.74,0.395777844,7
CCP,cau,102.5,0.02302439,7
CCP,cau,64.84,0.010333128,7
CCP,cau,298.37,0.061500821,6
CCP,cau,131.99,0.004015456,6
CCP,cau,130.43,0.031971172,6
CCP,cau,128.46,0.010742644,6
CCP,cau,96.57,0.04079942,6
CCP,cau,56.49,0.104620287,6
CCP,cau,52.79,0.027656753,6
CCP,cau,14.26,0.018934081,6
CCP,cau,299.38,0.001402899,5
CCP,cau,280.76,0.017025217,5
CCP,cau,231.65,0.011396503,5
CCP,cau,228.58,0.051929303,5
CCP,cau,197.74,0.010013149,5
CCP,cau,194.46,0.024632315,5
CCP,cau,89.19,0.013790784,5
CCP,cau,68.09,0.019239242,5
CCP,cau,55.99,0.061975353,5
CCP,cau,41.75,0.01005988,5
CCP,cau,39.97,0.033024769,5
CCP,cau,29.95,0.046744574,5
CCP,cau,29.82,0.106639839,5
CCP,cau,349.08,0.024177839,4
CCP,cau,337.36,0.03678563,4
CCP,cau,186.46,0.023061246,4
CCP,cau,147.1,0.016859279,4
CCP,cau,110.34,0.00262824,4
CCP,cau,91.9,0.098911861,4
CCP,cau,83.89,0.005006556,4
CCP,cau,78.86,0.011919858,4
CCP,cau,74.1,0.002159244,4
CCP,cau,73.28,0.064001092,4
CCP,cau,64.42,0.065197144,4
CCP,cau,53.95,0.008897127,4
CCP,cau,52.09,0.070071031,4
CCP,cau,46.6,0.010300429,4
CCP,cau,44.84,0.016949153,4
CCP,cau,42.9,0.036596737,4
CCP,cau,40.9,0.015892421,4
CCP,cau,37.64,0.040116897,4
CCP,cau,35.69,0.01036705,4
CCP,cau,34.9,0.098567335,4
CCP,cau,34.04,0.013219741,4
CCP,cau,31.46,0.026382708,4
CCP,cau,24.46,0.026982829,4
CCP,cau,24.33,0.479654747,4
CCP,cau,17.78,0.016310461,4
CCP,cau,15.65,0.041533546,4
CCP,cau,400.42,0.000524449,3
CCP,cau,356.94,0.01596907,3
CCP,cau,306.53,0.012168466,3
CCP,cau,239.22,0.032271549,3
CCP,cau,221.04,0.009093377,3
CCP,cau,160.2,0.007740325,3
CCP,cau,140.23,0.041360622,3
CCP,cau,98.39,0.00752109,3
CCP,cau,79.04,0.036690283,3
CCP,cau,72.69,0.009905076,3
CCP,cau,70.96,0.006905299,3
CCP,cau,69.82,0.007734174,3
CCP,cau,57.65,0.148829141,3
CCP,cau,57.56,0.039089646,3
CCP,cau,51.98,0.020200077,3
CCP,cau,47.25,0.003386243,3
CCP,cau,46.61,0.007509118,3
CCP,cau,46.42,0.002800517,3
CCP,cau,45.74,0.0080892,3
CCP,cau,45.53,0.02152427,3
CCP,cau,45.51,0.07756537,3
CCP,cau,45.37,0.040996253,3
CCP,cau,43.92,0.048497268,3
CCP,cau,43.09,0.003481086,3
CCP,cau,42.63,0.002345766,3
CCP,cau,42.34,0.021020312,3
CCP,cau,40.62,0.039389463,3
CCP,cau,40.13,0.014203838,3
CCP,cau,39.47,0.036483405,3
CCP,cau,36.35,0.010178817,3
CCP,cau,35.07,0.004562304,3
CCP,cau,28.37,0.010222066,3
CCP,cau,24.43,0.042161277,3
CCP,cau,22.64,0.001766784,3
CCP,cau,22.48,0.048042705,3
CCP,cau,21,0.038095238,3
CCP,cau,20.96,0.016698473,3
CCP,cau,19.51,0.001537673,3
CCP,cau,17.78,0.035433071,3
CCP,cau,16.66,0.007202881,3
CCP,cau,16.09,0.002486016,3
CCP,cau,14.47,0.01935038,3
CCP,cau,10.79,0.006487488,3
CCP,cau,9.17,0.065430752,3
CCP,cau,8.84,0.015837104,3
CCP,cau,2.35,0.021276596,3
CCP,cau,481.99,0.02452333,2
CCP,cau,268.22,0.016441727,2
CCP,cau,198.21,0.101407598,2
CCP,cau,191.28,0.019134253,2
CCP,cau,185.56,0.028939427,2
CCP,cau,159.39,0.016123973,2
CCP,cau,139.52,0.088374427,2
CCP,cau,120.15,0.011402414,2
CCP,cau,115.25,0.001735358,2
CCP,cau,111.47,0.002691307,2
CCP,cau,103.75,0.013975904,2
CCP,cau,80.65,0.032362058,2
CCP,cau,71.46,0.003218584,2
CCP,cau,66.84,0.005086774,2
CCP,cau,65.6,0.013719512,2
CCP,cau,58.95,0.016454623,2
CCP,cau,55.44,0.011002886,2
CCP,cau,52.8,0.003030303,2
CCP,cau,52.13,0.019182812,2
CCP,cau,49.7,0.009859155,2
CCP,cau,45.43,0.00198107,2
CCP,cau,44.84,0.098795718,2
CCP,cau,44.56,0.013240575,2
CCP,cau,39.56,0.309656218,2
CCP,cau,39.55,0.006321113,2
CCP,cau,35.48,0.003100338,2
CCP,cau,35.3,0.06572238,2
CCP,cau,33.21,0.020174646,2
CCP,cau,32.49,0.005847953,2
CCP,cau,30.72,0.036458333,2
CCP,cau,30.53,0.048476908,2
CCP,cau,28.48,0.008075843,2
CCP,cau,26.67,0.017622797,2
CCP,cau,26.53,0.008669431,2
CCP,cau,19.97,0.00901352,2
CCP,cau,19.81,0.010095911,2
CCP,cau,18.8,0.006382979,2
CCP,cau,17.92,0.020089286,2
CCP,cau,16.53,0.002419843,2
CCP,cau,15.41,0.018170019,2
CCP,cau,14.31,0.013277428,2
CCP,cau,14.2,0.052112676,2
CCP,cau,12.56,0.015127389,2
CCP,cau,12.35,0.131983806,2
CCP,cau,11.72,0.034982935,2
CCP,cau,11.59,0.008628128,2
CCP,cau,10.59,0.013220019,2
CCP,cau,10.27,0.033106134,2
CCP,cau,9.61,0.027055151,2
CCP,cau,9.43,0.019088017,2
CCP,cau,8.68,0.006912442,2
CCP,cau,8.64,0.019675926,2
CCP,cau,8.42,0.003562945,2
CCP,cau,8.35,0.003592814,2
CCP,cau,5.44,0.033088235,2
CCP,cau,4.98,0.016064257,2
CCP,cau,4.29,0.006993007,2
CCP,cau,4.27,0.014051522,2
CCP,cau,2.56,0.01953125,2
CCP,cau,2.35,0.021276596,2
CCP,cau,2.16,0.023148148,2
CCP,cau,1.32,0.083333333,2
