NAME,TempMin,TempMedian,TempMax,Vegetation,aedes,NT,Total,Proportion,Presence
CB01,11,23,27,64,3,2,5,0.6,1
CB02,18,24,28,65,0,4,4,0,0
CB03,18,25,29,56,14,23,37,0.378378378,1
CB04,17,24,29,55,2,18,20,0.1,1
CB05,19,24,30,60,2,3,5,0.4,1
CN03,17,28,32,29,3,2,5,0.6,1
CN04,18,25,30,73,1,209,210,0.004761905,1
CN06,17,23,28,72,5,7,12,0.416666667,1
ELPU,15,23,27,68,0,5,5,0,0
FELO,15,22,28,57,2,2,4,0.5,1
FILA,13,21,24,92,0,16,16,0,0
Frag5,19,22,26,71,0,20,20,0,0
GABO,14,21,25,82,0,12,12,0,0
GAPA,11,21,25,87,0,97,97,0,0
ISLA,15,23,27,61,0,0,0,0,0
LOAN,10,23,27,79,0,204,204,0,0
MELI,9,20,24,91,0,244,244,0,0
OP01,17,25,28,60,1,10,11,0.090909091,1
OP03,16,24,28,54,11,18,29,0.379310345,1
OP03B,14,23,27,72,4,28,32,0.125,1
PINO,14,21,25,75,6,8,14,0.428571429,1
PV01,16,23,27,69,3,8,11,0.272727273,1
PV02,14,22,25,71,0,2,2,0,0
PV04,16,22,27,83,0,2,2,0,0
PV05,15,22,25,68,0,1,1,0,0
QUST,13,22,26,78,0,3,3,0,0
RIJA,9,20,24,92,0,172,172,0,0
SABO,14,23,29,61,5,2,7,0.714285714,1
SAFR,19,25,31,62,0,7,7,0,0
SATE,17,23,29,71,2,2,4,0.5,1
SL01,14,23,28,39,5,15,20,0.25,1
SL02,15,24,30,48,12,14,26,0.461538462,1
SV01,19,27,31,36,0,3,3,0,0
SV02,17,24,29,64,0,8,8,0,0
SV04,18,25,29,49,5,7,12,0.416666667,1
SV05,20,27,32,43,1,6,7,0.142857143,1
SV06,18,25,30,53,0,12,12,0,0
VALE,15,23,28,61,0,7,7,0,0
