LichenID,TreeID,TeamID,Date,Genus_species
W17-T24-L1,24,W17-1,1/12/2017,Ramalina sp
W17-T24-L2,24,W17-1,1/12/2017,Ramalina sp
W17-T24-L3,24,W17-1,1/12/2017,Ramalina sp
W17-T36-L1,36,W17-1,1/12/2017,Evernia prunastri
W17-T36-L2,36,W17-1,1/12/2017,Evernia prunastri
W17-T36-L3,36,W17-1,1/12/2017,Evernia prunastri
W17-T25-L1,25,W17-2,1/12/2017,Evernia prunastri
W17-T25-L2,25,W17-2,1/12/2017,Evernia prunastri
W17-T25-L3,25,W17-2,1/12/2017,Evernia prunastri
W17-T38-L1,38,W17-2,1/12/2017,Evernia prunastri
W17-T38-L2,38,W17-2,1/12/2017,Evernia prunastri
W17-T38-L3,38,W17-2,1/12/2017,Evernia prunastri
W17-T4-L1,4,W17-3,1/12/2017,Evernia prunastri
W17-T4-L2,4,W17-3,1/12/2017,Evernia prunastri
W17-T4-L3,4,W17-3,1/12/2017,Evernia prunastri
W17-T42-L1,42,W17-3,1/12/2017,Evernia prunastri
W17-T42-L2,42,W17-3,1/12/2017,Evernia prunastri
W17-T42-L3,42,W17-3,1/12/2017,Evernia prunastri
W17-T1-L1,1,W17-4,1/12/2017,Evernia prunastri
W17-T1-L2,1,W17-4,1/12/2017,Evernia prunastri
W17-T1-L3,1,W17-4,1/12/2017,Evernia prunastri
W17-T19-L1,19,W17-4,1/12/2017,Evernia prunastri
W17-T19-L2,19,W17-4,1/12/2017,Evernia prunastri
W17-T19-L3,19,W17-4,1/12/2017,Evernia prunastri
W17-T15-L1,15,W17-5,1/12/2017,Evernia prunastri
W17-T15-L2,15,W17-5,1/12/2017,Evernia prunastri
W17-T15-L3,15,W17-5,1/12/2017,Evernia prunastri
W17-T26-L1,26,W17-5,1/12/2017,Evernia prunastri
W17-T26-L2,26,W17-5,1/12/2017,Evernia prunastri
W17-T26-L3,26,W17-5,1/12/2017,Evernia prunastri
W17-T16-L1,16,W17-6,1/12/2017,Evernia prunastri
W17-T16-L2,16,W17-6,1/12/2017,Evernia prunastri
W17-T16-L3,16,W17-6,1/12/2017,Evernia prunastri
W17-T27-L1,27,W17-6,1/12/2017,Evernia prunastri
W17-T27-L2,27,W17-6,1/12/2017,Evernia prunastri
W17-T27-L3,27,W17-6,1/12/2017,Evernia prunastri
W17-T17-L1,17,W17-7,1/12/2017,Evernia prunastri
W17-T17-L2,17,W17-7,1/12/2017,Evernia prunastri
W17-T17-L3,17,W17-7,1/12/2017,Evernia prunastri
W17-T32-L1,32,W17-7,1/12/2017,Evernia prunastri
W17-T32-L2,32,W17-7,1/12/2017,Evernia prunastri
W17-T32-L3,32,W17-7,1/12/2017,Evernia prunastri
W17-T49-L1,49,W17-8,1/12/2017,Evernia prunastri
W17-T49-L2,49,W17-8,1/12/2017,Evernia prunastri
W17-T49-L3,49,W17-8,1/12/2017,Evernia prunastri
W17-T54-L1,54,W17-8,1/12/2017,Evernia prunastri
W17-T54-L2,54,W17-8,1/12/2017,Evernia prunastri
W17-T54-L3,54,W17-8,1/12/2017,Evernia prunastri
W17-T2-L1,2,W17-1,1/26/2017,Ramalina menziesii
W17-T21-L1,21,W17-1,1/26/2017,Ramalina menziesii
W17-T24-L4,24,W17-1,1/26/2017,Ramalina menziesii
W17-T36-L4,36,W17-1,1/26/2017,Ramalina menziesii
W17-T37-L1,37,W17-1,1/26/2017,Ramalina menziesii
W17-T6-L1,6,W17-1,1/26/2017,Ramalina menziesii
W17-T22-L1,22,W17-2,1/26/2017,Ramalina menziesii
W17-T25-L4,25,W17-2,1/26/2017,Ramalina menziesii
W17-T34-L1,34,W17-2,1/26/2017,Ramalina menziesii
W17-T38-L4,38,W17-2,1/26/2017,Ramalina menziesii
W17-T44-L1,44,W17-2,1/26/2017,Ramalina menziesii
W17-T7-L1,7,W17-2,1/26/2017,Ramalina menziesii
W17-T10-L1,10,W17-3,1/26/2017,Ramalina menziesii
W17-T18-L1,18,W17-3,1/26/2017,Ramalina menziesii
W17-T31-L1,31,W17-3,1/26/2017,Ramalina menziesii
W17-T4-L4,4,W17-3,1/26/2017,Ramalina menziesii
W17-T40-L1,40,W17-3,1/26/2017,Ramalina menziesii
W17-T42-L4,42,W17-3,1/26/2017,Ramalina menziesii
W17-T1-L4,1,W17-4,1/26/2017,Ramalina menziesii
W17-T19-L4,19,W17-4,1/26/2017,Ramalina menziesii
W17-T23-L1,23,W17-4,1/26/2017,Ramalina menziesii
W17-T33-L1,33,W17-4,1/26/2017,Ramalina menziesii
W17-T39-L1,39,W17-4,1/26/2017,Ramalina menziesii
W17-T45-L1,45,W17-4,1/26/2017,Ramalina menziesii
W17-T11-L1,11,W17-5,1/26/2017,Ramalina menziesii
W17-T15-L4,15,W17-5,1/26/2017,Ramalina menziesii
W17-T20-L1,20,W17-5,1/26/2017,Ramalina menziesii
W17-T26-L4,26,W17-5,1/26/2017,Ramalina menziesii
W17-T3-L1,3,W17-5,1/26/2017,Ramalina menziesii
W17-T35-L1,35,W17-5,1/26/2017,Ramalina menziesii
W17-T12-L1,12,W17-6,1/26/2017,Ramalina menziesii
W17-T16-L4,16,W17-6,1/26/2017,Ramalina menziesii
W17-T27-L4,27,W17-6,1/26/2017,Ramalina menziesii
W17-T41-L1,41,W17-6,1/26/2017,Ramalina menziesii
W17-T46-L1,46,W17-6,1/26/2017,Ramalina menziesii
W17-T8-L1,8,W17-6,1/26/2017,Ramalina menziesii
W17-T13-L1,13,W17-7,1/26/2017,Ramalina menziesii
W17-T17-L4,17,W17-7,1/26/2017,Ramalina menziesii
W17-T29-L1,29,W17-7,1/26/2017,Ramalina menziesii
W17-T32-L4,32,W17-7,1/26/2017,Ramalina menziesii
W17-T47-L1,47,W17-7,1/26/2017,Ramalina menziesii
W17-T9-L1,9,W17-7,1/26/2017,Ramalina menziesii
W17-T49-L4,49,W17-8,1/26/2017,Ramalina menziesii
W17-T54-L4,54,W17-8,1/26/2017,Ramalina menziesii
W17-T30-L1,30,W17-8,1/26/2017,Ramalina menziesii
W17-T48-L1,48,W17-8,1/26/2017,Ramalina menziesii
W17-T14-L1,14,W17-8,1/26/2017,Ramalina menziesii
W17-T43-L1,43,W17-8,1/26/2017,Ramalina menziesii
