"","code","DENV","YFV","forest_area","forest_loss","area","x","y","mean_elevation","population","avg.rainfall","dryseason","percent_forest","percent_forest_loss","YFVoccurence","DENVprevalence"
"1","1300029",5,0,575803.085582814,118.388236895328,5937.98045807041,-65.3308151192996,-3.70122214765639,77.6470026282608,15357,228.4554004,0,96.9695150815511,0.000205605422859967,0,3.25584424041154e-05
"2","1300086",5,0,224518.900952242,53.2793779338581,2464.83263288149,-61.7169440485269,-3.50226007238711,40.0501734255361,11981,208.6931231,1,91.0889031397519,0.000237304644321198,0,4.17327435105584e-05
"3","1300102",2,1,504441.650335845,43.4654763701401,5820.91865965777,-62.0724610524555,-4.18632694199546,34.4230917461893,18826,216.3255141,0,86.6601441851282,8.61655185316315e-05,1,1.06236056517582e-05
"4","1300144",6,0,5343649.67753066,1372.15061577823,54469.9588306786,-59.4315774922565,-7.759610144644,153.784951832015,20258,201.1958497,4,98.1026935258305,0.000256781544184668,0,2.96179287195182e-05
"5","1300201",1,0,7581852.98466207,62.3069302111689,76684.1125974865,-71.7416429096056,-5.71151454211137,156.148306330268,17658,232.9479474,0,98.871235877229,8.21790271286116e-06,0,5.66315551025031e-06
"6","1300300",7,0,613230.099609789,570.644020595292,7632.94223694813,-59.5287434649585,-3.78903305415527,30.0339894964604,36301,187.1709548,3,80.3399371531176,0.000930554486738998,0,1.92832153384204e-05
"7","1300409",334,0,11342117.6975066,174.286822052915,123025.162446603,-63.4346559237194,-0.465161376478491,91.2766262100507,27273,206.1167503,0,92.193478731877,1.53663386945129e-05,0,0.00122465442012247
"8","1300508",1,0,454872.891096531,250.766045500385,5776.14215502519,-57.1724553555027,-3.12898157641517,34.2357797609621,30202,188.0545609,4,78.7502936888068,0.000551288173924544,0,3.31103900403947e-06
"9","1300607",3,0,855765.105456739,51.6764219680451,8831.84638806746,-70.2775177326105,-5.42857015103356,138.616477479776,38533,243.1933175,0,96.8953792734606,6.03862223857145e-05,0,7.78553447694184e-06
"10","1300631",2,0,1622134.40063902,90.3350026445307,17326.5448923701,-61.7872283520261,-4.60344539079875,46.1736546246973,17755,229.6164281,0,93.6213428998955,5.56889753456584e-05,0,1.12644325542101e-05
