OTUname,kingdom,phylum,class,order,family,genus,species
OTU1,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas, diminuta
OTU2,Bacteria, Proteobacteria, Deltaproteobacteria, Desulfarculales, Desulfarculaceae, , 
OTU3,Bacteria, Cyanobacteria, Chloroplast, Streptophyta, , , 
OTU4,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae,,
OTU5,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Microbacteriaceae,,
OTU6,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
OTU7,Unassigned,,,,,,
OTU8,Bacteria, Cyanobacteria, Chloroplast, Streptophyta, , , 
OTU9,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Dorea, 
OTU10,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Providencia, 
OTU11,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Mycobacteriaceae, Mycobacterium, 
OTU12,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, 
OTU13,Bacteria, Actinobacteria, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, 
OTU14,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, , 
OTU15,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
OTU16,Bacteria, Actinobacteria, Thermoleophilia, Solirubrobacterales, , , 
OTU17,Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, 
OTU18,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, , 
OTU19,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, , 
OTU20,Unassigned,,,,,,
OTU21,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], , 
OTU22,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, , 
OTU23,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
OTU24,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsia, 
OTU25,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
OTU26,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax,
OTU27,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU28,Bacteria, Firmicutes, Clostridia, Clostridiales, [Mogibacteriaceae], , 
OTU29,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Rhodospirillum,
OTU30,Bacteria, Gemmatimonadetes, Gemmatimonadetes, Ellin5290, , , 
OTU31,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Aurantimonadaceae, , 
OTU32,Unassigned,,,,,,
OTU33,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae,,
OTU34,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Dysgonomonas, 
OTU35,Bacteria, Cyanobacteria, Chloroplast, Streptophyta, , , 
OTU36,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, mitochondria,,
OTU37,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus, garvieae
OTU38,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
